Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_45_AC_170,NOHAB,1,3493,11,11.0,6.333333333333333,39.0,26.333333333333332,3.3333333333333335,27.5,8.833333333333334,71.5,24.833333333333332,10.0,4.5,30.166666666666668,16.333333333333332,2166.5,215.0,2661.166666666667
L_AK_45_AC_170,NOHAB,1,3493,12,12.666666666666666,6.0,43.666666666666664,26.0,4.5,22.333333333333332,9.0,55.0,18.0,8.833333333333334,3.5,26.333333333333332,20.0,1915.8333333333333,275.3333333333333,2447.0
L_AK_45_AC_170,NOHAB,1,3493,13,13.333333333333334,4.666666666666667,46.333333333333336,25.333333333333332,4.0,17.166666666666668,9.166666666666666,61.333333333333336,16.333333333333332,11.0,6.333333333333333,34.666666666666664,22.5,2140.6666666666665,289.6666666666667,2702.5
L_AK_45_AC_170,NOHAB,1,3493,14,11.166666666666666,5.5,48.5,22.666666666666668,4.333333333333333,15.833333333333334,8.0,40.166666666666664,17.0,10.666666666666666,4.833333333333333,24.333333333333332,24.833333333333332,2066.1666666666665,266.0,2570.0
L_AK_45_AC_170,NOHAB,1,3493,15,15.166666666666666,5.666666666666667,51.166666666666664,25.5,4.166666666666667,19.333333333333332,8.833333333333334,45.666666666666664,27.666666666666668,9.166666666666666,11.666666666666666,30.666666666666668,26.0,2503.6666666666665,271.5,3055.8333333333326
L_AK_45_AC_170,NOHAB,1,3493,16,9.5,5.166666666666667,40.333333333333336,22.166666666666668,4.166666666666667,15.333333333333334,7.833333333333333,32.666666666666664,20.0,6.666666666666667,5.833333333333333,23.333333333333332,25.5,2572.1666666666665,263.8333333333333,3054.5
L_AK_45_AC_170,NOHAB,1,3493,17,7.5,5.166666666666667,45.833333333333336,20.0,4.166666666666667,12.5,8.166666666666666,29.166666666666668,20.333333333333332,5.0,5.5,19.166666666666668,23.666666666666668,2513.0,261.0,2980.1666666666665
L_AK_45_AC_170,NOHAB,1,3493,18,7.0,6.333333333333333,47.5,21.666666666666668,2.8333333333333335,15.666666666666666,8.666666666666666,22.333333333333332,14.0,1.6666666666666667,3.6666666666666665,19.833333333333332,23.0,2526.8333333333335,205.66666666666666,2926.6666666666665
L_AK_45_AC_170,NOHAB,1,3493,19,6.166666666666667,5.5,44.333333333333336,18.0,3.8333333333333335,15.833333333333334,8.833333333333334,24.5,16.666666666666668,3.1666666666666665,4.5,21.166666666666668,21.666666666666668,2452.8333333333335,187.16666666666666,2834.166666666667
L_AK_45_AC_170,NOHAB,1,3493,20,7.5,6.0,40.5,13.833333333333334,3.8333333333333335,16.0,8.166666666666666,13.666666666666666,12.333333333333334,3.0,3.6666666666666665,19.666666666666668,18.0,2185.5,174.83333333333334,2526.5
L_AK_45_AC_170,NOHAB,1,3493,21,5.0,6.5,35.833333333333336,11.5,4.0,16.166666666666668,6.333333333333333,9.833333333333334,6.0,2.8333333333333335,1.5,15.333333333333334,10.333333333333334,1750.0,148.33333333333334,2029.4999999999998
L_AK_45_AC_170,NOHAB,1,3493,22,8.333333333333334,12.333333333333334,30.333333333333332,8.666666666666666,7.833333333333333,18.333333333333332,5.166666666666667,23.5,5.333333333333333,5.666666666666667,5.166666666666667,18.5,8.0,1313.6666666666667,124.5,1595.3333333333333
