Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
L_AK_45_AC_170,NOHAB,1,3493,10,4.43129153271,1.66611733426,5.73592446637,4.66666666667,43.8333333333,27.0014527736,1293.97937399,3.5,15.8333333333,24.1666666667,51.2238447806,5.94003553138,9.83611968805,20.0053324143,2.31986462295,3.84146962941,3.55751573753,1.33758715567,4.6048971068,77.4129002484,11.1491968872,465.701158557,0.636239660183,0.0766152470378,24.1204784261,8.91245181187,6.49024672321,5.59730146492,9.33333333333,214.666666667,219.913858271,120.175392606,1.06101346558,0.398929502568,1.37339036519
L_AK_45_AC_170,NOHAB,1,3493,11,4.11922874872,1.54878512762,5.33198612367,6.33333333333,39.0,26.4062507226,1265.45575402,3.33333333333,27.5,26.3333333333,54.6642522658,6.3389931417,10.4967545925,18.9859524187,2.20165496064,3.64572595403,3.74475340792,1.40798647965,4.84726011242,75.7064618063,10.9034314126,455.435552218,0.772881734854,0.0930695282808,29.3007154035,6.93190696479,5.04796967361,4.35345669494,8.83333333333,215.0,215.066223568,117.526326248,1.68513903357,0.633593915844,2.18126705059
L_AK_45_AC_170,NOHAB,1,3493,12,4.7433543167,1.78344954089,6.13986280907,6.0,43.6666666667,23.3510156209,1119.04099489,4.5,22.3333333333,26.0,42.0494248199,4.87614857054,8.0744266096,13.761629941,1.59583044127,2.64253961769,3.30786551033,1.24372139036,4.28174643264,66.9471327382,9.64189122917,402.741108758,0.674670243684,0.0812430136374,25.577420076,8.48804934464,6.18118735544,5.33076329992,9.0,275.333333333,190.182801748,103.928388355,1.31066369277,0.492795267878,1.69654103935
L_AK_45_AC_170,NOHAB,1,3493,13,4.9930045439,1.8773153062,6.46301348323,4.66666666667,46.3333333333,26.0913827434,1250.36646701,4.0,17.1666666667,25.3333333333,46.8914797991,5.43764446654,9.00420906767,12.4874049465,1.44806836337,2.39786002346,4.11922874872,1.54878512762,5.33198612367,74.8037383984,10.7734189602,450.004941356,0.888173485357,0.10695282808,33.6715403532,9.54905551272,6.95383577487,5.99710871241,9.16666666667,289.666666667,212.501775176,116.124943021,2.37167715835,0.891724770447,3.06993140453
L_AK_45_AC_170,NOHAB,1,3493,14,4.18164130552,1.57225156895,5.41277379221,5.5,48.5,25.1833441194,1206.85091027,4.33333333333,15.8333333333,22.6666666667,30.7088223684,3.56106607727,5.89677822095,12.9970949443,1.50717319453,2.49573186115,3.99440363512,1.50185224496,5.17041078658,72.2004005703,10.3984798232,434.343760354,0.623429465683,0.0750726581712,23.6348312095,10.5393279363,7.67497429967,6.6190310974,8.0,266.0,205.106236909,112.083534618,1.80996414716,0.680526798499,2.34284238767
L_AK_45_AC_170,NOHAB,1,3493,15,5.67954266869,2.13544616081,7.35167783718,5.66666666667,51.1666666667,30.5157857031,1462.3952871,4.16666666667,19.3333333333,25.5,34.9137648504,4.04868093432,6.70422088191,21.1521349094,2.45285049306,4.06168126422,3.43269062393,1.29065427301,4.44332176972,87.4884582856,12.6003036141,526.313783015,0.785691929354,0.0946121171473,29.7863626202,11.034464148,8.03554356207,6.9299922899,8.83333333333,271.5,248.536411296,135.816637657,4.36887897591,1.64265089293,5.65513679783
L_AK_45_AC_170,NOHAB,1,3493,16,3.55751573753,1.33758715567,4.6048971068,5.16666666667,40.3333333333,31.3506936996,1502.40623524,4.16666666667,15.3333333333,22.1666666667,24.974809893,2.89613672674,4.79572004691,15.2906999345,1.77314493474,2.93615513076,2.49650227195,0.938657653102,3.23150674162,89.8821313222,12.9450463105,540.713660849,0.597809076682,0.0719874804382,22.6635367762,10.8222629144,7.88101387818,6.7967232074,7.83333333333,263.833333333,255.336335743,139.532563504,2.18443948796,0.821325446464,2.82756839891
L_AK_45_AC_170,NOHAB,1,3493,17,2.80856505594,1.05598985974,3.63544508432,5.16666666667,45.8333333333,30.6295444569,1467.84690047,4.16666666667,12.5,20.0,22.2989374045,2.58583636316,4.28189289903,15.5455449334,1.80269735032,2.98509104961,1.87237670396,0.703993239826,2.42363005621,87.8146035169,12.647275855,528.275810165,0.491057455846,0.0591325732171,18.6164766376,10.0441917245,7.31440503727,6.30806990491,8.16666666667,261.0,249.462921683,136.322943855,2.05961437436,0.774392563809,2.66599306183
L_AK_45_AC_170,NOHAB,1,3493,18,2.62132738555,0.985590535757,3.3930820787,6.33333333333,47.5,30.7981511812,1475.92697029,2.83333333333,15.6666666667,21.6666666667,17.0746149269,1.98001184379,3.27870656268,10.7034899541,1.24120145432,2.05530859153,0.624125567987,0.234664413275,0.807876685404,88.2979973418,12.7168954263,531.183814691,0.50813771518,0.0611893583725,19.2640062598,9.76125674634,7.10836545875,6.13037779491,8.66666666667,205.666666667,250.836142435,137.07336197,1.37307624957,0.516261709206,1.77732870789
L_AK_45_AC_170,NOHAB,1,3493,19,2.30926460155,0.868258329119,2.98914373599,5.5,44.3333333333,29.8962067762,1432.70346426,3.83333333333,15.8333333333,18.0,18.7311074198,2.17210254506,3.59679003518,12.7422499454,1.47762077895,2.4467959423,1.18583857918,0.445862385223,1.53496570227,85.7121315796,12.3444726594,515.627742287,0.542298233848,0.0653029286832,20.5590655041,9.19538679003,6.69628630172,5.77499357492,8.83333333333,187.166666667,243.490238653,133.059077113,1.68513903357,0.633593915844,2.18126705059
